latitude,longtitude,depth,temperature,time
59.26342392,10.74695492,1.342,1.647E+12,5.599999905
0,0,1.342,1.647E+12,5.599999905
0,0,1.342,1.647E+12,5.599999905
0,0,1.342,1.647E+12,5.599999905
0,0,1.332,1.647E+12,5.599999905
0,0,1.332,1.647E+12,5.599999905
59.26342392,10.74695492,1.332,1.647E+12,5.599999905
0,0,1.342,1.647E+12,5.599999905
0,0,1.342,1.647E+12,5.599999905
0,0,1.342,1.647E+12,5.599999905
0,0,1.342,1.647E+12,5.599999905
0,0,1.352,1.647E+12,5.599999905
0,0,1.352,1.647E+12,5.599999905
0,0,1.352,1.647E+12,5.599999905
0,0,1.352,1.647E+12,5.599999905
59.26342773,10.74695492,1.352,1.647E+12,5.599999905
0,0,1.352,1.647E+12,5.599999905
0,0,1.352,1.647E+12,5.599999905
0,0,1.352,1.647E+12,5.599999905
0,0,1.363,1.647E+12,5.599999905
0,0,1.363,1.647E+12,5.599999905
0,0,1.363,1.647E+12,5.599999905
0,0,1.352,1.647E+12,5.599999905
0,0,1.352,1.647E+12,5.599999905
0,0,1.352,1.647E+12,5.599999905
0,0,1.352,1.647E+12,5.599999905
0,0,1.342,1.647E+12,5.599999905
59.26342773,10.74695683,1.342,1.647E+12,5.599999905
0,0,1.342,1.647E+12,5.599999905
0,0,1.332,1.647E+12,5.599999905
0,0,1.332,1.647E+12,5.599999905
0,0,1.332,1.647E+12,5.599999905
0,0,1.332,1.647E+12,5.599999905
0,0,1.332,1.647E+12,5.599999905
0,0,1.332,1.647E+12,5.599999905
59.26342773,10.74695492,1.332,1.647E+12,5.599999905
0,0,1.332,1.647E+12,5.599999905
0,0,1.342,1.647E+12,5.599999905
0,0,1.342,1.647E+12,5.599999905
0,0,1.342,1.647E+12,5.599999905
0,0,1.342,1.647E+12,5.599999905
0,0,1.352,1.647E+12,5.599999905
59.26343155,10.74695683,1.352,1.647E+12,5.599999905
0,0,1.332,1.647E+12,5.599999905
0,0,1.311,1.647E+12,5.599999905
0,0,1.3,1.647E+12,5.599999905
0,0,1.29,1.647E+12,5.599999905
59.26343155,10.74695015,1.29,1.647E+12,5.599999905
0,0,1.29,1.647E+12,5.599999905
0,0,1.269,1.647E+12,5.599999905
0,0,1.269,1.647E+12,5.599999905
0,0,1.248,1.647E+12,5.599999905
0,0,1.228,1.647E+12,5.599999905
0,0,1.238,1.647E+12,5.599999905
0,0,1.228,1.647E+12,5.599999905
0,0,1.228,1.647E+12,5.599999905
59.26343155,10.74694633,1.228,1.647E+12,5.599999905
0,0,1.228,1.647E+12,5.599999905
0,0,1.248,1.647E+12,5.599999905
0,0,1.269,1.647E+12,5.599999905
0,0,1.28,1.647E+12,5.599999905
0,0,1.28,1.647E+12,5.599999905
0,0,1.269,1.647E+12,5.599999905
0,0,1.269,1.647E+12,5.599999905
59.26343155,10.74694633,1.269,1.647E+12,5.599999905
0,0,1.28,1.647E+12,5.599999905
0,0,1.29,1.647E+12,5.599999905
0,0,1.269,1.647E+12,5.599999905
0,0,1.28,1.647E+12,5.599999905
0,0,1.28,1.647E+12,5.599999905
0,0,1.259,1.647E+12,5.599999905
0,0,1.248,1.647E+12,5.599999905
0,0,1.238,1.647E+12,5.599999905
59.26343155,10.74694633,1.238,1.647E+12,5.599999905
0,0,1.228,1.647E+12,5.599999905
0,0,1.228,1.647E+12,5.599999905
0,0,1.207,1.647E+12,5.599999905
0,0,1.217,1.647E+12,5.599999905
0,0,1.217,1.647E+12,5.599999905
0,0,1.207,1.647E+12,5.599999905
0,0,1.228,1.647E+12,5.599999905
0,0,1.228,1.647E+12,5.599999905
0,0,1.238,1.647E+12,5.599999905
0,0,1.238,1.647E+12,5.599999905
0,0,1.238,1.647E+12,5.599999905
0,0,1.259,1.647E+12,5.599999905
0,0,1.248,1.647E+12,5.599999905
59.26343155,10.74695301,1.248,1.647E+12,5.599999905
0,0,1.238,1.647E+12,5.599999905
0,0,1.248,1.647E+12,5.599999905
0,0,1.248,1.647E+12,5.599999905
0,0,1.248,1.647E+12,5.599999905
0,0,1.228,1.647E+12,5.599999905
0,0,1.228,1.647E+12,5.599999905
0,0,1.228,1.647E+12,5.599999905
0,0,1.217,1.647E+12,5.599999905
0,0,1.217,1.647E+12,5.599999905
0,0,1.196,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.207,1.647E+12,5.599999905
0,0,1.207,1.647E+12,5.599999905
0,0,1.207,1.647E+12,5.599999905
59.26343536,10.74695873,1.207,1.647E+12,5.599999905
0,0,1.207,1.647E+12,5.599999905
0,0,1.207,1.647E+12,5.599999905
0,0,1.196,1.647E+12,5.599999905
0,0,1.207,1.647E+12,5.599999905
0,0,1.196,1.647E+12,5.599999905
0,0,1.207,1.647E+12,5.599999905
0,0,1.228,1.647E+12,5.599999905
0,0,1.217,1.647E+12,5.599999905
0,0,1.217,1.647E+12,5.599999905
0,0,1.207,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
59.26343918,10.7469635,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.196,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.175,1.647E+12,5.599999905
0,0,1.175,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.196,1.647E+12,5.599999905
0,0,1.196,1.647E+12,5.599999905
0,0,1.196,1.647E+12,5.599999905
0,0,1.196,1.647E+12,5.599999905
0,0,1.196,1.647E+12,5.599999905
59.26344299,10.74697018,1.196,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.175,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.196,1.647E+12,5.599999905
59.26345062,10.74697876,1.196,1.647E+12,5.599999905
0,0,1.196,1.647E+12,5.599999905
0,0,1.196,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.186,1.647E+12,5.599999905
0,0,1.175,1.647E+12,5.599999905
0,0,1.175,1.647E+12,5.599999905
0,0,1.165,1.647E+12,5.599999905
0,0,1.165,1.647E+12,5.599999905
0,0,1.175,1.647E+12,5.599999905
0,0,1.175,1.647E+12,5.599999905
0,0,1.155,1.647E+12,5.599999905
0,0,1.144,1.647E+12,5.599999905
0,0,1.144,1.647E+12,5.599999905
59.26345825,10.74698639,1.144,1.647E+12,5.599999905
0,0,1.144,1.647E+12,5.599999905
0,0,1.144,1.647E+12,5.599999905
0,0,1.134,1.647E+12,5.599999905
0,0,1.134,1.647E+12,5.599999905
0,0,1.134,1.647E+12,5.599999905
0,0,1.134,1.647E+12,5.599999905
0,0,1.123,1.647E+12,5.599999905
0,0,1.123,1.647E+12,5.599999905
0,0,1.123,1.647E+12,5.599999905
0,0,1.134,1.647E+12,5.599999905
0,0,1.134,1.647E+12,5.599999905
0,0,1.123,1.647E+12,5.599999905
0,0,1.123,1.647E+12,5.599999905
0,0,1.123,1.647E+12,5.599999905
0,0,1.113,1.647E+12,5.599999905
59.26346207,10.74699306,1.113,1.647E+12,5.599999905
0,0,1.113,1.647E+12,5.599999905
0,0,1.123,1.647E+12,5.599999905
0,0,1.123,1.647E+12,5.599999905
0,0,1.113,1.647E+12,5.599999905
0,0,1.113,1.647E+12,5.599999905
0,0,1.113,1.647E+12,5.599999905
0,0,1.113,1.647E+12,5.599999905
0,0,1.113,1.647E+12,5.599999905
0,0,1.103,1.647E+12,5.599999905
0,0,1.103,1.647E+12,5.599999905
0,0,1.103,1.647E+12,5.599999905
0,0,1.103,1.647E+12,5.599999905
0,0,1.103,1.647E+12,5.599999905
0,0,1.103,1.647E+12,5.599999905
59.26346588,10.74700165,1.103,1.647E+12,5.599999905
0,0,1.113,1.647E+12,5.599999905
0,0,1.113,1.647E+12,5.599999905
0,0,1.113,1.647E+12,5.599999905
0,0,1.103,1.647E+12,5.599999905
0,0,1.103,1.647E+12,5.599999905
0,0,1.092,1.647E+12,5.599999905
0,0,1.092,1.647E+12,5.599999905
0,0,1.082,1.647E+12,5.599999905
0,0,1.082,1.647E+12,5.599999905
0,0,1.082,1.647E+12,5.599999905
0,0,1.082,1.647E+12,5.599999905
0,0,1.071,1.647E+12,5.599999905
0,0,1.071,1.647E+12,5.599999905
0,0,1.061,1.647E+12,5.599999905
59.2634697,10.74700642,1.061,1.647E+12,5.599999905
0,0,1.051,1.647E+12,5.599999905
0,0,1.051,1.647E+12,5.599999905
0,0,1.061,1.647E+12,5.599999905
0,0,1.061,1.647E+12,5.599999905
0,0,1.071,1.647E+12,5.599999905
0,0,1.051,1.647E+12,5.599999905
0,0,1.051,1.647E+12,5.599999905
0,0,1.051,1.647E+12,5.599999905
0,0,1.03,1.647E+12,5.599999905
0,0,1.03,1.647E+12,5.599999905
0,0,1.03,1.647E+12,5.599999905
0,0,1.04,1.647E+12,5.599999905
0,0,1.03,1.647E+12,5.599999905
0,0,1.019,1.647E+12,5.599999905
0,0,0.999,1.647E+12,5.599999905
59.2634697,10.74701691,0.999,1.647E+12,5.599999905
0,0,0.999,1.647E+12,5.599999905
0,0,0.988,1.647E+12,5.599999905
0,0,0.988,1.647E+12,5.599999905
0,0,0.967,1.647E+12,5.599999905
0,0,0.967,1.647E+12,5.599999905
0,0,0.967,1.647E+12,5.599999905
0,0,0.967,1.647E+12,5.599999905
0,0,0.967,1.647E+12,5.599999905
0,0,0.967,1.647E+12,5.599999905
0,0,0.957,1.647E+12,5.599999905
0,0,0.967,1.647E+12,5.599999905
0,0,0.957,1.647E+12,5.599999905
0,0,0.957,1.647E+12,5.599999905
0,0,0.967,1.647E+12,5.599999905
59.26346588,10.74702644,0.967,1.647E+12,5.599999905
0,0,0.957,1.647E+12,5.599999905
0,0,0.967,1.647E+12,5.599999905
0,0,0.967,1.647E+12,5.599999905
0,0,0.978,1.647E+12,5.599999905
0,0,0.967,1.647E+12,5.599999905
0,0,0.967,1.647E+12,5.599999905
0,0,0.967,1.647E+12,5.599999905
0,0,0.967,1.647E+12,5.599999905
0,0,0.978,1.647E+12,5.599999905
0,0,0.978,1.647E+12,5.599999905
0,0,0.978,1.647E+12,5.599999905
0,0,0.978,1.647E+12,5.599999905
0,0,0.988,1.647E+12,5.599999905
0,0,0.978,1.647E+12,5.599999905
0,0,0.978,1.647E+12,5.599999905
59.26346207,10.74702835,0.978,1.647E+12,5.599999905
0,0,0.978,1.647E+12,5.599999905
0,0,0.988,1.647E+12,5.599999905
0,0,0.999,1.647E+12,5.599999905
0,0,0.999,1.647E+12,5.599999905
0,0,0.999,1.647E+12,5.599999905
0,0,0.999,1.647E+12,5.599999905
0,0,0.999,1.647E+12,5.599999905
0,0,0.999,1.647E+12,5.599999905
0,0,1.009,1.647E+12,5.599999905
0,0,1.009,1.647E+12,5.599999905
0,0,1.009,1.647E+12,5.599999905
0,0,1.009,1.647E+12,5.599999905
0,0,1.009,1.647E+12,5.599999905
59.26345825,10.74703121,1.009,1.647E+12,5.599999905
0,0,1.019,1.647E+12,5.599999905
0,0,1.019,1.647E+12,5.599999905
0,0,1.019,1.647E+12,5.599999905
0,0,1.03,1.647E+12,5.599999905
0,0,1.03,1.647E+12,5.599999905
0,0,1.03,1.647E+12,5.599999905
0,0,1.04,1.647E+12,5.599999905
0,0,1.04,1.647E+12,5.599999905
0,0,1.04,1.647E+12,5.599999905
0,0,1.051,1.647E+12,5.599999905
0,0,1.061,1.647E+12,5.599999905
0,0,1.061,1.647E+12,5.599999905
0,0,1.071,1.647E+12,5.599999905
0,0,1.071,1.647E+12,5.599999905
0,0,1.071,1.647E+12,5.599999905
59.26345825,10.74702358,1.071,1.647E+12,5.599999905
0,0,1.071,1.647E+12,5.599999905
0,0,1.071,1.647E+12,5.599999905
0,0,1.082,1.647E+12,5.599999905
0,0,1.082,1.647E+12,5.599999905
0,0,1.071,1.647E+12,5.599999905
0,0,1.092,1.647E+12,5.599999905
0,0,1.092,1.647E+12,5.599999905
0,0,1.092,1.647E+12,5.599999905
0,0,1.092,1.647E+12,5.599999905
0,0,1.092,1.647E+12,5.599999905
0,0,1.092,1.647E+12,5.599999905
0,0,1.092,1.647E+12,5.599999905
