#group,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,double,double,double,double,double
#default,_result,,,,,,,
,result,table,_time,depthMeters,lat,lon,speedKmph,trackTrue
,,0,2022-04-01T14:55:37Z,2.93,59.21838667,10.91887833,0.76,342.17
,,0,2022-04-01T14:55:38Z,2.96,59.21838833,10.91887833,0.62,342.17
,,0,2022-04-01T14:55:39Z,2.9,59.21839,10.91887833,0.95,342.17
,,0,2022-04-01T14:55:40Z,2.9,59.21839167,10.91888,1.97,357.45
,,0,2022-04-01T14:55:41Z,2.85,59.21839667,10.91888,2.11,357.95
,,0,2022-04-01T14:55:42Z,2.86,59.21840167,10.91887833,1.87,353.53
,,0,2022-04-01T14:55:49Z,2.93,59.21842833,10.91888,0.5,357.45
,,0,2022-04-01T14:55:50Z,2.96,59.21842833,10.91887833,0.23,357.45
,,0,2022-04-01T14:55:52Z,2.96,59.21842833,10.91887833,0.52,357.45
,,0,2022-04-01T14:55:53Z,2.97,59.21842833,10.91887833,0.04,357.45
,,0,2022-04-01T14:55:54Z,2.96,59.21842833,10.91887833,0.59,357.45
,,0,2022-04-01T14:55:55Z,2.96,59.21842833,10.91887833,0.13,357.45
,,0,2022-04-01T14:55:56Z,2.95,59.21843,10.91887833,0.34,357.45
,,0,2022-04-01T14:55:57Z,2.93,59.21843,10.91887833,0.46,357.45
,,0,2022-04-01T14:55:58Z,2.96,59.21843,10.91888,0.08,357.45
,,0,2022-04-01T14:55:59Z,2.92,59.21843,10.91888,0.31,357.45
,,0,2022-04-01T14:56:00Z,2.95,59.21843,10.91887833,,357.45
,,0,2022-04-01T14:56:01Z,2.93,59.21843,10.91887833,0.33,357.45
,,0,2022-04-01T14:56:02Z,2.95,59.21843,10.91887667,0.24,357.45
,,0,2022-04-01T14:56:03Z,2.92,59.21843,10.91887667,0.21,357.45
,,0,2022-04-01T14:56:05Z,2.96,59.21843,10.918875,0.32,357.45
,,0,2022-04-01T14:56:06Z,2.95,59.21843167,10.918875,0.32,357.45
,,0,2022-04-01T14:56:07Z,2.96,59.21843167,10.918875,0.46,357.45
,,0,2022-04-01T14:56:08Z,2.91,59.21843167,10.918875,0.2,357.45
,,0,2022-04-01T14:56:09Z,2.96,59.21843167,10.918875,0.13,357.45
