latitude,longtitude,depth,temperature,time
,,4.57,6.0,1642080529294
,,4.56,6.0,1642080529617
,,4.55,6.0,1642080529809
,,4.57,5.6,1642080530114
,,4.57,5.6,1642080530446
,,4.56,5.6,1642080530805
,,4.55,5.6,1642080531014
,,4.55,5.6,1642080531347
,,4.56,5.6,1642080531714
,,4.55,5.6,1642080532014
,,4.56,5.6,1642080532225
,,4.56,5.6,1642080532575
,,4.56,5.6,1642080532814
,,4.56,5.6,1642080532817
,,4.56,5.6,1642080532820
,,4.55,5.6,1642080532863
,,4.57,5.4,1642080533003
,,4.57,5.4,1642080533073
,,4.59,5.4,1642080533149
,,4.66,5.4,1642080533215
,,4.65,5.4,1642080533319
,,4.66,5.4,1642080533355
,,4.65,5.4,1642080533422
,,4.66,5.4,1642080533493
,,4.66,5.4,1642080533562
,,4.65,5.4,1642080533634
,,4.66,5.4,1642080533705
,,4.67,5.4,1642080533772
,,4.67,5.4,1642080533844
,,4.68,5.4,1642080533915
,,4.66,5.4,1642080533986
,,4.63,5.4,1642080534068
,,4.64,5.4,1642080534123
,,4.64,5.4,1642080534219
,,4.67,5.4,1642080534366
,,4.65,5.4,1642080534402
,,4.7,5.4,1642080534479
,,4.71,5.4,1642080534545
,,4.72,5.4,1642080534613
,,4.7,5.4,1642080534683
,,4.7,5.4,1642080534752
,,4.69,5.4,1642080534822
,,4.69,5.4,1642080534893
,,4.69,5.4,1642080534965
,,4.68,5.4,1642080535034
,,4.67,5.4,1642080535117
,,4.64,5.4,1642080535176
,,4.65,5.4,1642080535269
,,4.58,5.4,1642080535314
,,4.58,5.4,1642080535417
,,4.55,5.4,1642080535454
,,4.54,5.4,1642080535524
,,4.55,5.4,1642080535593
,,4.55,5.4,1642080535665
,,4.58,5.4,1642080535734
,,4.59,5.4,1642080535804
,,4.58,5.4,1642080535874
,,4.6,5.4,1642080535944
,,4.61,5.4,1642080536012
,,4.6,5.4,1642080536085
,,4.66,5.4,1642080536161
,,4.68,5.4,1642080536224
,,4.7,5.4,1642080536316
,,4.69,5.4,1642080536467
,,4.67,5.4,1642080536507
,,4.67,5.4,1642080536575
,,4.62,5.4,1642080536643
,,4.63,5.4,1642080536714
,,4.62,5.4,1642080536793
,,4.63,5.4,1642080536853
,,4.65,5.4,1642080536924
,,4.68,5.4,1642080536994
,,4.64,5.4,1642080537067
,,4.61,5.4,1642080537135
,,4.6,5.4,1642080537212
,,4.61,5.4,1642080537273
,,4.65,5.4,1642080537362
,,4.65,5.4,1642080537415
,,4.68,5.4,1642080537554
,,4.67,5.4,1642080537623
,,4.66,5.4,1642080537699
,,4.65,5.4,1642080537763
,,4.61,5.4,1642080537833
,,4.57,5.4,1642080537903
,,4.6,5.4,1642080537975
,,4.59,5.4,1642080538045
,,4.59,5.4,1642080538141
,,4.57,5.4,1642080538183
,,4.55,5.4,1642080538264
,,4.59,5.4,1642080538326
,,4.58,5.4,1642080538415
,,4.59,5.4,1642080538465
,,4.58,5.4,1642080538566
,,4.57,5.4,1642080538603
,,4.6,5.4,1642080538674
,,4.61,5.4,1642080538741
,,4.61,5.4,1642080538814
,,4.62,5.4,1642080538888
,,4.61,5.2,1642080538954
,,4.62,5.2,1642080539026
,,4.62,5.2,1642080539093
,,4.58,5.2,1642080539165
,,4.55,5.2,1642080539234
,,4.54,5.2,1642080539313
,,4.53,5.2,1642080539385
,,4.53,5.2,1642080539460
,,4.56,5.2,1642080539514
,,4.57,5.2,1642080539612
,,4.57,5.2,1642080539654
,,4.58,5.2,1642080539722
,,4.57,5.2,1642080539792
,,4.57,5.2,1642080539866
,,4.6,5.2,1642080539933
,,4.61,5.2,1642080540006
,,4.62,5.2,1642080540071
,,4.63,5.2,1642080540146
,,4.63,5.2,1642080540215
,,4.62,5.2,1642080540284
,,4.58,5.2,1642080540360
,,4.56,5.2,1642080540423
,,4.54,5.2,1642080540511
,,4.52,5.2,1642080540566
,,4.53,5.2,1642080540689
,,4.53,5.2,1642080540705
,,4.52,5.2,1642080540773
,,4.53,5.2,1642080540843
,,4.55,5.2,1642080540915
,,4.56,5.2,1642080540983
,,4.56,5.2,1642080541054
,,4.57,5.2,1642080541123
,,4.59,5.2,1642080541192
,,4.6,5.2,1642080541263
,,4.61,5.2,1642080541336
,,4.6,5.2,1642080541408
,,4.6,5.2,1642080541473
,,4.6,5.2,1642080541569
,,4.61,5.2,1642080541613
,,4.61,5.2,1642080541714
,,4.58,5.2,1642080541754
,,4.57,5.2,1642080541823
,,4.58,5.2,1642080541893
,,4.59,5.0,1642080541965
,,4.58,5.0,1642080542034
,,4.58,5.0,1642080542101
,,4.59,5.0,1642080542175
,,4.6,5.0,1642080542610
,,4.59,5.0,1642080542667
,,4.59,5.0,1642080542759
,,4.58,5.0,1642080542801
,,4.56,5.0,1642080542910
