latitude,longtitude,depth,temperature,time
,,4.57,6,1.64208E+12
,,4.56,6,1.64208E+12
,,4.55,6,1.64208E+12
,,4.57,5.6,1.64208E+12
,,4.57,5.6,1.64208E+12
,,4.56,5.6,1.64208E+12
,,4.55,5.6,1.64208E+12
,,4.55,5.6,1.64208E+12
,,4.56,5.6,1.64208E+12
,,4.55,5.6,1.64208E+12
,,4.56,5.6,1.64208E+12
,,4.56,5.6,1.64208E+12
,,4.56,5.6,1.64208E+12
,,4.56,5.6,1.64208E+12
,,4.56,5.6,1.64208E+12
,,4.55,5.6,1.64208E+12
,,4.57,5.4,1.64208E+12
,,4.57,5.4,1.64208E+12
,,4.59,5.4,1.64208E+12
,,4.66,5.4,1.64208E+12
,,4.65,5.4,1.64208E+12
,,4.66,5.4,1.64208E+12
,,4.65,5.4,1.64208E+12
,,4.66,5.4,1.64208E+12
,,4.66,5.4,1.64208E+12
,,4.65,5.4,1.64208E+12
,,4.66,5.4,1.64208E+12
,,4.67,5.4,1.64208E+12
,,4.67,5.4,1.64208E+12
,,4.68,5.4,1.64208E+12
,,4.66,5.4,1.64208E+12
,,4.63,5.4,1.64208E+12
,,4.64,5.4,1.64208E+12
,,4.64,5.4,1.64208E+12
,,4.67,5.4,1.64208E+12
,,4.65,5.4,1.64208E+12
,,4.7,5.4,1.64208E+12
,,4.71,5.4,1.64208E+12
,,4.72,5.4,1.64208E+12
,,4.7,5.4,1.64208E+12
,,4.7,5.4,1.64208E+12
,,4.69,5.4,1.64208E+12
,,4.69,5.4,1.64208E+12
,,4.69,5.4,1.64208E+12
,,4.68,5.4,1.64208E+12
,,4.67,5.4,1.64208E+12
,,4.64,5.4,1.64208E+12
,,4.65,5.4,1.64208E+12
,,4.58,5.4,1.64208E+12
,,4.58,5.4,1.64208E+12
,,4.55,5.4,1.64208E+12
,,4.54,5.4,1.64208E+12
,,4.55,5.4,1.64208E+12
,,4.55,5.4,1.64208E+12
,,4.58,5.4,1.64208E+12
,,4.59,5.4,1.64208E+12
,,4.58,5.4,1.64208E+12
,,4.6,5.4,1.64208E+12
,,4.61,5.4,1.64208E+12
,,4.6,5.4,1.64208E+12
,,4.66,5.4,1.64208E+12
,,4.68,5.4,1.64208E+12
,,4.7,5.4,1.64208E+12
,,4.69,5.4,1.64208E+12
,,4.67,5.4,1.64208E+12
,,4.67,5.4,1.64208E+12
,,4.62,5.4,1.64208E+12
,,4.63,5.4,1.64208E+12
,,4.62,5.4,1.64208E+12
,,4.63,5.4,1.64208E+12
,,4.65,5.4,1.64208E+12
,,4.68,5.4,1.64208E+12
,,4.64,5.4,1.64208E+12
,,4.61,5.4,1.64208E+12
,,4.6,5.4,1.64208E+12
,,4.61,5.4,1.64208E+12
,,4.65,5.4,1.64208E+12
,,4.65,5.4,1.64208E+12
,,4.68,5.4,1.64208E+12
,,4.67,5.4,1.64208E+12
,,4.66,5.4,1.64208E+12
,,4.65,5.4,1.64208E+12
,,4.61,5.4,1.64208E+12
,,4.57,5.4,1.64208E+12
